Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2022,JAN 2023,FEB 2023,MAR 2023,APR 2023,MAY 2023,JUN 2023,JULY 2023,AUG 2023,SEP 2023,OCT 2023,NOV 2023,ANNUAL TOTAL,,,,,
Waymo LLC,AVDT001,SADHW2S14M1617604,0,0,0,0,0,0,0,1007.1,2543.9,1723.7,117.3,129.7,64.4,5586.1,,,,,
Waymo LLC,AVDT001,SADHW2S15M1617546,0,0,122.8,1628.7,3371.7,4708.6,3692.7,2785.8,1028.6,946,84.1,50.8,55.1,18474.8,,,,,
Waymo LLC,AVDT001,SADHW2S11M1617625,1,0,0,0,0,0,324.5,3014.3,1457.2,2163.2,144,134.1,71.2,7308.6,,,,,
Waymo LLC,AVDT001,SADHW2S11M1617186,0,0,0,0,3372.3,4100.9,3234.5,3092.1,2006.3,0,0,0,38.1,15844.1,,,,,
Waymo LLC,AVDT001,SADHW2S15M1617109,0,0,0,0,2832.6,3091.7,2346.7,3413.3,455.8,0,44.6,82.6,75.1,12342.4,,,,,
Waymo LLC,AVDT001,SADHW2S10M1617101,0,0,0,0,213.9,4165.3,3693.8,2535,1579.7,1002.6,72.5,63.4,81.9,13408,,,,,
Waymo LLC,AVDT001,SADHW2S10M1617633,0,0,0,0,3676.6,4732.2,3396.4,3182.6,605.2,0,19.2,80.9,56.7,15749.8,,,,,
Waymo LLC,AVDT001,SADHW2S10M1616904,0,0,0,1207.8,3597.8,4074.2,2150,2651.1,1587.2,661.3,48.3,89.5,51.3,16118.4,,,,,
Waymo LLC,AVDT001,SADHW2S14M1617599,0,0,838.7,1139.7,2797.7,4372.5,3370.2,3302.6,1256.8,413.7,126.8,83.2,38.6,17740.4,,,,,
Waymo LLC,AVDT001,SADHW2S10M1617227,0,0,0,0,0,0,0,0,1311.6,1399,124.4,72.1,85.6,2992.6,,,,,
Waymo LLC,AVDT001,SADHW2S16M1617619,0,0,0,428.1,4459.3,4573.6,3371.1,3563.3,319.3,0,0,0,52.2,16766.8,,,,,
Waymo LLC,AVDT001,SADHW2S16M1617555,0,0,0,0,2317,3937,3007.7,3338.5,0,24.4,140.1,62.3,49.9,12876.9,,,,,
Waymo LLC,AVDT001,SADHW2S11M1617219,0,0,0,0,2397.7,3844.9,2654.4,3262.8,588.7,1349.8,35.5,105.9,103.9,14343.7,,,,,
Waymo LLC,AVDT001,SADHW2S17M1615653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1615505,2,0,0,810.1,607,2981.4,542,730.6,462,84,822.3,1473.2,3914.5,12427.1,,,,,
Waymo LLC,AVDT001,SADHW2S15M1616008,0,0,0,0,0,2966.3,3578.2,2645.4,1954.6,0,0,102.6,0,11247.2,,,,,
Waymo LLC,AVDT001,SADHW2S18R1632775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13R1632814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18R1632890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11R1632827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14R1632790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14R1632854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12R1632870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12R1632903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1602696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1602684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1602637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1602701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1614480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1614687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1614696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1615361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1615154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1615215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1615383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1615482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1615415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1615248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S17M1615989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1616029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1615787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1615486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1615767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1615519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1616187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1616349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1615624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1615583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1616090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1615532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1615695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1615678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1616281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1615732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1615564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1615706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1615668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1615421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1615729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1616069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1616325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1616239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1616103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1615671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1615889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1615879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1615897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1616108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1615208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S17M1615684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1615963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1616218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1615258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1616662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1616779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1616748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1615790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1616698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1616733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1616644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1616719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1616650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1616341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S17M1616527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1616501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1616613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1616880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1616441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1616577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S17M1616950,0,279.8,1669.7,2040.2,0,0,0,0,0,0,0,0,0,3989.7,,,,,
Waymo LLC,AVDT001,SADHW2S19M1616481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1616549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1616471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1616421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1616837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1616455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S15M1616686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S17M1616592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1615190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1616844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1616831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S1XM1616960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1617036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1617051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1617078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1617122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1617016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1617484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1617537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1617528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1617422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1617377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S19M1617565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1617258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1617278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S12M1617651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1617573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1617440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S11M1617642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S16M1617541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S13M1617268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S14M1617327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S10M1617177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,SADHW2S18M1617086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K73HR833808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K75HR833759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K73HR786120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K79HR827253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K79HR786123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K71HR822208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K70HR833877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K74HR797322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K73HR797330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Waymo LLC,AVDT001,2C4RC1K79HR833859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
WERIDE CORP,AVDT007,1N4AZ1CP3KC301099,0,0.00,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,3.23,,,,,
WERIDE CORP,AVDT007,1N4AZ1CP5KC307681,0,0.00,0.00,0.00,0.00,0.00,10.36,16.5,0.00,0.00,0.00,0.00,0.00,26.86,,,,,
WERIDE CORP,AVDT007,1N4AZ1CP4KC303668,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,3.12,7.89,3.21,20.89,,,,,
"Zoox, Inc",AVDT004,~0002,0,0.00,0.00,0.00,0.00,0.00,12.00,163.00,1259.00,1252.00,828.00,1105.00,887.00,5506.00,,,,,
"Zoox, Inc",AVDT004,~0001,0,0.00,0.00,43.00,13.00,64.00,136.00,27.00,66.00,399.00,871.00,1086.00,894.00,3599.00,,,,,
"Zoox, Inc",AVDT004,~0003,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,37.00,,,,,
"Zoox, Inc",AVDT004,~0004,0,0.00,0.00,0.00,0.00,0.00,0.00,268.00,991.00,862.00,0.00,0.00,0.00,2121.00,,,,,
"Zoox, Inc",AVDT004,~0006,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
"Zoox, Inc",AVDT004,~0005,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
