Section 1 Manufacturers information. enter manufacturer's NAME,Business,Date_of_Accident,Time_of_accident,Location,city,county,state,zip,Operator
,Cruise,2022-09-05,05:14 PM,1727 Sacramento Street,San Francisco,San Francisco,CA,94109,Cruise LLC
Cruise LLC,Cruise,2020-01-02,8:24 PM,Clement St between 24th Ave and 25th Ave,San Francisco,San Francisco,CA,94121,
Cruise LLC,Cruise,2020-01-12,12:40 PM,Clipper St. and Portola Dr.,San Francisco,San Francisco,CA,,
Cruise LLC,Cruise,2021-01-13,5:32 PM,201 Grant Av,San Francisco,San Francisco,CA,94108,
Cruise LLC,Cruise,2021-01-21,2:38 PM,433 Minna St,San Francisco,San Francisco,CA,94103,
Cruise LLC,Cruise,2020-01-25,8:10 PM,4307 24th St,San Francisco,San Francisco,CA,94114,
Cruise LLC,Cruise,2020-01-29,10:10 PM,1170 Columbus Av,San Francisco,San Francisco,CA,94133,
Cruise LLC,Cruise,2020-01-31,5:47 PM,22 Castro St,San Francisco,San Francisco,CA,94114,
Cruise LLC,Cruise,2020-02-05,8:57 PM,901 Jones St,San Francisco,San Francisco,CA,94109,
Cruise LLC,Cruise,2020-02-09,9:16 PM,Sickles Ave and Mission St,San Francisco,San Francisco,CA,94112,
Cruise LLC,Cruise,2021-02-09,2:41 PM,1011 De Haro St,San Francisco,San Francisco,CA,94107,
Cruise LLC,Cruise,2021-02-25,7:10 PM,700 Blk Baker St,San Francisco,San Francisco,CA,94115,
,Cruise,2023-03-03,04:23 PM,1201 Bryant St,San Francisco,San Francisco,CA,94103,Cruise LLC
Cruise LLC,Cruise,2021-03-09,8:20 PM,274 Fremont St,San Francisco,San Francisco,CA,94105,
Cruise LLC,Cruise,2021-03-12,4:37 PM,198 Duboce Av,San Francisco,San Francisco,CA,94103,
,Cruise,2023-03-21,9:49 PM,1401 Clay Street,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2023-03-23,2:46 PM,1452 Haight Street,San Francisco,San Francisco,CA,94117,Cruise LLC
Cruise LLC,Cruise,2021-03-27,4:27 PM,199 Parnassus St,San Francisco,San Francisco,CA,94117,
Cruise LLC,Cruise,2021-03-29,4:58 PM,1890 Folsom St,San Francisco,San Francisco,CA,94103,
Cruise LLC,Cruise,2021-03-30,9:23 PM,1855 Folsom Street,San Francisco,San Francisco,CA,94107,
,Cruise,2023-04-09,04:45 PM,499 25th Avenue,San Francisco,San Francisco,CA,94121,Cruise LLC
,Cruise,2023-04-12,8:13 PM,1198 Turk Street,San Francisco,San Francisco,CA,94115,Cruise LLC
,Cruise,2022-04-16,11:21 PM,1460 Pine St,San Francisco,San Francisco,CA,94109,Cruise LLC
,Cruise,2022-04-17,12:13 PM,3289 Mission St,San Francisco,San Francisco,CA,94110,Cruise LLC
Cruise LLC,Cruise,2021-04-21,12:38 PM,1401 15th St,San Francisco,San Francisco,CA,94103,
